name,Reference,inchi,Organism,DetectedBy,TypeOfExperiment,TypeOfDetection,Comments,,,
Cd,PMID:19621966,InChI=1S/Cd,,NikR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147241 effector_id=ECK125147230 transcription_factor_id=ECK120023539,,,
Formate,PMID:8981978,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)/p-1",,FhlA,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK120013093 effector_id=ECK120013094 transcription_factor_id=ECK120011394,,,
Mn,PMID:16690618,InChI=1S/Mn,,Fur,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147202 effector_id=ECK125135089 transcription_factor_id=ECK120033465,,,
Carbonyl cyanide p-(trifluoro-methoxy)phenylhydrazone,PMID:10991887,"InChI=1S/C10H5F3N4O/c11-10(12,13)18-9-3-1-7(2-4-9)16-17-8(5-14)6-15/h1-4,16H",,MprA,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147235 effector_id=ECK125147324 transcription_factor_id=ECK120011593,,,
Cd,PMID:19701940,InChI=1S/Cd,,MntR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147231 effector_id=ECK125147230 transcription_factor_id=ECK120034617,,,
Cu,PMID:12524532,InChI=1S/Cu,,NikR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147244 effector_id=ECK125147243 transcription_factor_id=ECK120023539,,,
D-allose,PMID:9401019,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4-,5-,6?/m1/s1",,AlsR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147165 effector_id=ECK125147289 transcription_factor_id=ECK120011959,,,
Maltotriose,PMID:11867639,"InChI=1S/C18H32O16/c19-1-4-7(22)8(23)12(27)17(31-4)34-15-6(3-21)32-18(13(28)10(15)25)33-14-5(2-20)30-16(29)11(26)9(14)24/h4-29H,1-3H2",,MalT,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK120012219 effector_id=ECK120012220 transcription_factor_id=ECK120012218,,,
Paraquat,PMID:7768850,"InChI=1S/C12H14N2/c1-13-7-3-11(4-8-13)12-5-9-14(2)10-6-12/h3-10H,1-2H3/q+2",,MarR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147223 effector_id=ECK125147318 transcription_factor_id=ECK120013191,,,
D-fucose,PMID:12683999,"InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3",,AraC,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147167 effector_id=ECK125147291 transcription_factor_id=ECK120012316,,,
L-arabinose,PMID:12683999,"InChI=1S/C5H10O5/c6-2-1-10-5(9)4(8)3(2)7/h2-9H,1H2/t2-,3-,4+,5?/m0/s1",,AraC,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147166 effector_id=ECK125147290 transcription_factor_id=ECK120012316,,,
Phenazine methosulfate,PMID:7768850,"InChI=1S/C13H11N2.CH4O4S/c1-15-12-8-4-2-6-10(12)14-11-7-3-5-9-13(11)15;1-5-6(2,3)4/h2-9H,1H3;1H3,(H,2,3,4)/q+1;/p-1",,MarR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147224 effector_id=ECK125147319 transcription_factor_id=ECK120013191,,,
galactose,PMID:8982002,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3+,4+,5-,6?/m1/s1",,GalS,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK120030025 effector_id=ECK120030024 transcription_factor_id=ECK120012704,,,
ATP,PMID:10692154,"InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",,MalT,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK120012219 effector_id=ECK120011905 transcription_factor_id=ECK120012218,,,
N-acetyl-L-serine,PMID:11038360,"InChI=1S/C5H9NO4/c1-3(8)6-4(2-7)5(9)10/h4,7H,2H2,1H3,(H,6,8)(H,9,10)/t4-/m0/s1",,CysB,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147187 effector_id=ECK125147295 transcription_factor_id=ECK120011312,,,
Mn,PMID:12746439,InChI=1S/Mn,,Fur,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147202 effector_id=ECK125135089 transcription_factor_id=ECK120033465,,,
Salicylate,PMID:7768850,"InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)",,MarR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147354 effector_id=ECK125147374 transcription_factor_id=ECK120013191,,,
"2,4-dinitrophenol",PMID:10419969,"InChI=1S/C6H4N2O5/c9-6-2-1-4(7(10)11)3-5(6)8(12)13/h1-3,9H",,MarR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147220 effector_id=ECK125147397 transcription_factor_id=ECK120013191,,,
Zn,PMID:12970756,InChI=1S/Zn,,NikR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147246 effector_id=ECK120016261 transcription_factor_id=ECK120023539,,,
N-acetyl-L-serine,PMID:2105304,"InChI=1S/C5H9NO4/c1-3(8)6-4(2-7)5(9)10/h4,7H,2H2,1H3,(H,6,8)(H,9,10)/t4-/m0/s1",,CysB,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147187 effector_id=ECK125147295 transcription_factor_id=ECK120011312,,,
Sodium salicylate,PMID:10419969,"InChI=1S/C7H6O3.Na/c8-6-4-2-1-3-5(6)7(9)10;/h1-4,8H,(H,9,10);/q;+1/p-1",,MarR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147226 effector_id=ECK125147321 transcription_factor_id=ECK120013191,,,
ATP,PMID:3298211,"InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",,MalT,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK120012219 effector_id=ECK120011905 transcription_factor_id=ECK120012218,,,
allantoin,PMID:12460564,"InChI=1S/C4H6N4O3/c5-3(10)6-1-2(9)8-4(11)7-1/h1H,(H3,5,6,10)(H2,7,8,9,11)",,AllS,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK120015637 effector_id=ECK120015638 transcription_factor_id=ECK120015636,,,
ATP,PMID:15180985,"InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",,MalT,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK120012219 effector_id=ECK120011905 transcription_factor_id=ECK120012218,,,
Alfa-acetohydroxybutirate,PMID:9556617,"InChI=1S/C6H10O4/c1-3-6(10,4(2)7)5(8)9/h10H,3H2,1-2H3,(H,8,9)",,IlvY,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147211 effector_id=ECK125147309 transcription_factor_id=ECK120012965,,,
Maltotriose,PMID:10692154,"InChI=1S/C18H32O16/c19-1-4-7(22)8(23)12(27)17(31-4)34-15-6(3-21)32-18(13(28)10(15)25)33-14-5(2-20)30-16(29)11(26)9(14)24/h4-29H,1-3H2",,MalT,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK120012219 effector_id=ECK120012220 transcription_factor_id=ECK120012218,,,
L-arabinose,PMID:1560456,"InChI=1S/C5H10O5/c6-2-1-10-5(9)4(8)3(2)7/h2-9H,1H2/t2-,3-,4+,5?/m0/s1",,AraC,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147166 effector_id=ECK125147290 transcription_factor_id=ECK120012316,,,
S-adenosylmethionine,PMID:3090041,"InChI=1S/C15H22N6O5S/c1-27(3-2-7(16)15(24)25)4-8-10(22)11(23)14(26-8)21-6-20-9-12(17)18-5-19-13(9)21/h5-8,10-11,14,22-23H,2-4,16H2,1H3,(H2-,17,18,19,24,25)",,MetJ,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK120011473 effector_id=ECK129999996 transcription_factor_id=ECK120048948,,,
MalK,PMID:9822819,,,MalT,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147396 effector_id=ECK125147395 transcription_factor_id=ECK120012218,,,
Menadione,PMID:10419969,"InChI=1S/C11H8O2/c1-7-6-10(12)8-4-2-3-5-9(8)11(7)13/h2-6H,1H3",,MarR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147222 effector_id=ECK125147317 transcription_factor_id=ECK120013191,,,
Zn,PMID:20583753,InChI=1S/Zn,,NikR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147246 effector_id=ECK120016261 transcription_factor_id=ECK120023539,,,
Molybdate,PMID:10075916,InChI=1S/Mo.4O,,,2*-1,,ModE,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK120015771 effector_id=ECK120015772 transcription_factor_id=ECK120011220
Co,PMID:18505253,InChI=1S/Co,,RcnR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147407 effector_id=ECK125147403 transcription_factor_id=ECK120033010,,,
Trehalose-6-phosphate,PMID:9148912,"InChI=1S/C12H23O14P/c13-1-3-5(14)7(16)9(18)11(24-3)26-12-10(19)8(17)6(15)4(25-12)2-23-27(20,21)22/h3-19H,1-2H2,(H2,20,21,22)",,TreR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147356 effector_id=ECK125147380 transcription_factor_id=ECK120011406,,,
Lysine,PMID:17504942,"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m0/s1",,ArgP,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147170 effector_id=ECK125147292 transcription_factor_id=ECK120011202,,,
Thiosulphate,PMID:17010379,"InChI=1S/H2O3S2/c1-5(2,3)4/h(H2,1,2,3,4)/p-2",,Cbl,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147175 effector_id=ECK125147294 transcription_factor_id=ECK120013750,,,
ATP,PMID:2524384,"InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",,MalT,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK120012219 effector_id=ECK120011905 transcription_factor_id=ECK120012218,,,
MalY,PMID:10692154,,,MalT,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147219 effector_id=ECK125147315 transcription_factor_id=ECK120012218,,,
"2,4-dinitrophenol",PMID:7768850,"InChI=1S/C6H4N2O5/c9-6-2-1-4(7(10)11)3-5(6)8(12)13/h1-3,9H",,MarR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147220 effector_id=ECK125147397 transcription_factor_id=ECK120013191,,,
Fe,PMID:16690618,InChI=1S/Fe,,Fur,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125141878 effector_id=ECK125147303 transcription_factor_id=ECK120033465,,,
Adenosine 5 phosphosulphate',PMID:17010379,"InChI=1S/C10H14N5O10PS/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-26(18,19)25-27(20,21)22/h2-4,6-7,10,16-17H,1H2,(H,18,19)(H2,11,12,13)(H,20,21,22)/t4-,6-,7-,10-/m1/s1",,Cbl,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147343 effector_id=ECK125147362 transcription_factor_id=ECK120013750,,,
L-tartrate,,"InChI=1S/C4H6O6/c5-1(3(7)8)2(6)4(9)10/h1-2,5-6H,(H,7,8)(H,9,10)/p-2/t1-,2-/m1/s1",,Dan,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125110122 effector_id=ECK120051453 transcription_factor_id=ECK120051451,,,
Purine,PMID:11495998,"InChI=1S/C5H4N4/c1-4-5(8-2-6-1)9-3-7-4/h1-3H,(H,6,7,8,9)",,GcvA,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147205 effector_id=ECK125147305 transcription_factor_id=ECK120012465,,,
Co,PMID:18193897,InChI=1S/Co,,NikR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147242 effector_id=ECK125147403 transcription_factor_id=ECK120023539,,,
galactose,PMID:8982002,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3+,4+,5-,6?/m1/s1",,GalR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK120030023 effector_id=ECK120030024 transcription_factor_id=ECK120012713,,,
D-serine,PMID:6296057,"InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m1/s1",,DsdC,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK120030009 effector_id=ECK120030010 transcription_factor_id=ECK120013081,,,
Cyanate,PMID:7961413,InChI=1S/CHNO/c2-1-3/h3H/p-1,,CynR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK120013066 effector_id=ECK120013067 transcription_factor_id=ECK120013065,,,
Tryptophan,PMID:8433368,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)",,TrpR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK120012177 effector_id=ECK120012178 transcription_factor_id=ECK120012176,,,
xanthosine,PMID:7559336,"InChI=1S/C10H12N4O6/c15-1-3-5(16)6(17)9(20-3)14-2-11-4-7(14)12-10(19)13-8(4)18/h2-3,5-6,9,15-17H,1H2,(H2,12,13,18,19)/t3-,5-,6-,9-/m1/s1",,XapR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK120030065 effector_id=ECK120030066 transcription_factor_id=ECK120013780,,,
Glyoxylate,PMID:17426033,"InChI=1S/C2H2O3/c3-1-2(4)5/h1H,(H,4,5)",,IclR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147392 effector_id=ECK125147358 transcription_factor_id=ECK120011897,,,
Allolactose,PMID:17543986,"InChI=1S/C12H22O11/c13-1-3-5(14)8(17)10(19)12(23-3)21-2-4-6(15)7(16)9(18)11(20)22-4/h3-20H,1-2H2",,LacI,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147351 effector_id=ECK125147373 transcription_factor_id=ECK120012762,,,
L-arabinose,PMID:7768852,"InChI=1S/C5H10O5/c6-2-1-10-5(9)4(8)3(2)7/h2-9H,1H2/t2-,3-,4+,5?/m0/s1",,AraC,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147166 effector_id=ECK125147290 transcription_factor_id=ECK120012316,,,
Co,PMID:16945905,InChI=1S/Co,,NikR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147242 effector_id=ECK125147403 transcription_factor_id=ECK120023539,,,
D-fucose,PMID:17173282,"InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3",,AraC,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147167 effector_id=ECK125147291 transcription_factor_id=ECK120012316,,,
Fructose-1-phosphate,PMID:9084760,"InChI=1S/C6H13O9P/c7-1-3(8)5(10)6(11)4(9)2-15-16(12,13)14/h3,5-8,10-11H,1-2H2,(H2,12,13,14)",,Cra,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147346 effector_id=ECK125147368 transcription_factor_id=ECK120013112,,,
"Fructose-1,6-diphosphate",PMID:9084760,"InChI=1S/C6H14O12P2/c7-4-3(1-16-19(10,11)12)18-6(9,5(4)8)2-17-20(13,14)15/h3-5,7-9H,1-2H2,(H2,10,11,12)(H2,13,14,15)",,Cra,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147347 effector_id=ECK125147369 transcription_factor_id=ECK120013112,,,
Cd,PMID:12958362,InChI=1S/Cd,,ZntR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125160622 effector_id=ECK125147230 transcription_factor_id=ECK120034467,,,
Carbonyl cyanide m-chlorophenylhydrazone (CCCP),PMID:10438794,"InChI=1S/C9H5ClN4/c10-7-2-1-3-8(4-7)13-14-9(5-11)6-12/h1-4,13H",,MprA,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147234 effector_id=ECK125147323 transcription_factor_id=ECK120011593,,,
Cu,PMID:12958362,InChI=1S/Cu,,CueR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK120034781 effector_id=ECK129999998 transcription_factor_id=ECK120034780,,,
ATP,PMID:2180908,"InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",,MalT,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK120012219 effector_id=ECK120011905 transcription_factor_id=ECK120012218,,,
Maltotriose,PMID:10559195,"InChI=1S/C18H32O16/c19-1-4-7(22)8(23)12(27)17(31-4)34-15-6(3-21)32-18(13(28)10(15)25)33-14-5(2-20)30-16(29)11(26)9(14)24/h4-29H,1-3H2",,MalT,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK120012219 effector_id=ECK120012220 transcription_factor_id=ECK120012218,,,
Ni,PMID:18193897,InChI=1S/Ni,,NikR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147383 effector_id=ECK125147404 transcription_factor_id=ECK120023539,,,
Cu,PMID:12970756,InChI=1S/Cu,,NikR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147244 effector_id=ECK125147243 transcription_factor_id=ECK120023539,,,
"2,4-dinitrophenol",PMID:10438794,"InChI=1S/C6H4N2O5/c9-6-2-1-4(7(10)11)3-5(6)8(12)13/h1-3,9H",,MprA,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147398 effector_id=ECK125147397 transcription_factor_id=ECK120011593,,,
N-acetyl-D-glucosamine-6-phosphate,PMID:1766379,"InChI=1S/C8H16NO9P/c1-3(10)9-5-7(12)6(11)4(18-8(5)13)2-17-19(14,15)16/h4-8,11-13H,2H2,1H3,(H,9,10)(H2,14,15,16)",,NagC,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147400 effector_id=ECK125147399 transcription_factor_id=ECK120011908,,,
Proflavin,PMID:17950313,"InChI=1S/C13H11N3/c14-10-3-1-8-5-9-2-4-11(15)7-13(9)16-12(8)6-10/h1-7H,14-15H2",,AcrR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147160 effector_id=ECK125147286 transcription_factor_id=ECK120015994,,,
Glycine,PMID:12101307,"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)",,GcvA,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147204 effector_id=ECK125147304 transcription_factor_id=ECK120012465,,,
HCA,,"InChI=1S/C3Cl6O/c4-2(5,6)1(10)3(7,8)9",,HcaR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK120034461 effector_id=ECK120034462 transcription_factor_id=ECK120015243,,,
L-lactate,PMID:18263722,"InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)/p-1/t2-/m0/s1",,LldR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147215 effector_id=ECK125147312 transcription_factor_id=ECK120013830,,,
Co,PMID:12970756,InChI=1S/Co,,NikR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147242 effector_id=ECK125147403 transcription_factor_id=ECK120023539,,,
Cd,PMID:11466284,InChI=1S/Cd,,MntR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147231 effector_id=ECK125147230 transcription_factor_id=ECK120034617,,,
Ni,PMID:12970756,InChI=1S/Ni,,NikR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147383 effector_id=ECK125147404 transcription_factor_id=ECK120023539,,,
Cu,PMID:16945905,InChI=1S/Cu,,NikR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147244 effector_id=ECK125147243 transcription_factor_id=ECK120023539,,,
Cu,PMID:19621966,InChI=1S/Cu,,NikR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147244 effector_id=ECK125147243 transcription_factor_id=ECK120023539,,,
Hypoxanthine,PMID:2211500,"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)",,PurR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK120012855 effector_id=ECK120012856 transcription_factor_id=ECK120012854,,,
allantoin,,"InChI=1S/C4H6N4O3/c5-3(10)6-1-2(9)8-4(11)7-1/h1H,(H3,5,6,10)(H2,7,8,9,11)",,AllR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125140769 effector_id=ECK120015638 transcription_factor_id=ECK120015630,,,
Monoacetylchitobiose-6P,PMID:22797760,"InChI=1S/C14H27N2O13P/c1-4(18)16-8-11(21)9(19)6(3-26-30(23,24)25)28-14(8)29-12-5(2-17)27-13(22)7(15)10(12)20/h5-14,17,19-22H,2-3,15H2,1H3,(H,16,18)(H2,23,24,25)/t5-,6-,7-,8-,9-,10-,11-,12-,13?,14+/m1/s1",,ChbR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147284 effector_id=ECK125147283 transcription_factor_id=ECK120012036,,,
Cu,PMID:18193897,InChI=1S/Cu,,NikR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147244 effector_id=ECK125147243 transcription_factor_id=ECK120023539,,,
L-alanine,PMID:6264314,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1",,AlaS,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK120030265 effector_id=ECK120030266 transcription_factor_id=ECK120030264,,,
dATP,PMID:17496099,"InChI=1S/C10H16N5O12P3/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(16)6(25-7)2-24-29(20,21)27-30(22,23)26-28(17,18)19/h3-7,16H,1-2H2,(H,20,21)(H,22,23)(H2,11,12,13)(H2,17,18,19)/t5-,6+,7+/m0/s1",,NrdR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147376 effector_id=ECK125147375 transcription_factor_id=ECK120033053,,,
Carbonyl cyanide m-chlorophenylhydrazone (CCCP),PMID:10991887,"InChI=1S/C9H5ClN4/c10-7-2-1-3-8(4-7)13-14-9(5-11)6-12/h1-4,13H",,MprA,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147234 effector_id=ECK125147323 transcription_factor_id=ECK120011593,,,
Fe,PMID:2823881,InChI=1S/Fe,,Fur,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125141878 effector_id=ECK125147303 transcription_factor_id=ECK120033465,,,
Carbonyl cyanide p-(trifluoro-methoxy)phenylhydrazone,PMID:10438794,"InChI=1S/C10H5F3N4O/c11-10(12,13)18-9-3-1-7(2-4-9)16-17-8(5-14)6-15/h1-4,16H",,MprA,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147235 effector_id=ECK125147324 transcription_factor_id=ECK120011593,,,
Thymine,PMID:17919280,"InChI=1S/C5H6N2O2/c1-3-2-6-5(9)7-4(3)8/h2H,1H3,(H2,6,7,8,9)",,RutR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147265 effector_id=ECK125147333 transcription_factor_id=ECK120033905,,,
O-acetyl-L-serine,PMID:2105304,"InChI=1S/C5H9NO4/c1-3(7)10-2-4(6)5(8)9/h4H,2,6H2,1H3,(H,8,9)/t4-/m0/s1",,CysB,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK120011313 effector_id=ECK120011314 transcription_factor_id=ECK120011312,,,
Plumbagin,PMID:10419969,"InChI=1S/C11H8O3/c1-6-5-9(13)10-7(11(6)14)3-2-4-8(10)12/h2-5,12H,1H3",,MarR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147225 effector_id=ECK125147320 transcription_factor_id=ECK120013191,,,
Ni,PMID:16945905,InChI=1S/Ni,,NikR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147383 effector_id=ECK125147404 transcription_factor_id=ECK120023539,,,
Fe,PMID:12746439,InChI=1S/Fe,,Fur,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125141878 effector_id=ECK125147303 transcription_factor_id=ECK120033465,,,
Mn,PMID:2823881,InChI=1S/Mn,,Fur,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147202 effector_id=ECK125135089 transcription_factor_id=ECK120033465,,,
Zn,PMID:17496099,InChI=1S/Zn,,NrdR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125110281 effector_id=ECK120016261 transcription_factor_id=ECK120033053,,,
Met-oxidized,,"InChI=1S/C5H11NO3S/c1-10(9)3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)",,HypT,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125161299 effector_id=ECK125161300 transcription_factor_id=ECK125141903,,,
Glyoxylate,PMID:12460564,"InChI=1S/C2H2O3/c3-1-2(4)5/h1H,(H,4,5)",,AllR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147339 effector_id=ECK125147358 transcription_factor_id=ECK120015630,,,
L-arabinose,PMID:8516313,"InChI=1S/C5H10O5/c6-2-1-10-5(9)4(8)3(2)7/h2-9H,1H2/t2-,3-,4+,5?/m0/s1",,AraC,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147166 effector_id=ECK125147290 transcription_factor_id=ECK120012316,,,
Plumbagin,PMID:7768850,"InChI=1S/C11H8O3/c1-6-5-9(13)10-7(11(6)14)3-2-4-8(10)12/h2-5,12H,1H3",,MarR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK125147225 effector_id=ECK125147320 transcription_factor_id=ECK120013191,,,
Maltotriose,PMID:2524384,"InChI=1S/C18H32O16/c19-1-4-7(22)8(23)12(27)17(31-4)34-15-6(3-21)32-18(13(28)10(15)25)33-14-5(2-20)30-16(29)11(26)9(14)24/h4-29H,1-3H2",,MalT,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK120012219 effector_id=ECK120012220 transcription_factor_id=ECK120012218,,,
Cd,PMID:12958362,InChI=1S/Cd,,ZntR,,,Extracted from RegulonDB v9.0 (20170228): conformation_id=ECK120034468 effector_id=ECK125147230 transcription_factor_id=ECK120034467,,,
